"Label","Source","Target","Exists","UnderCommonRoot","Action","RobocopyCode","SourceFilesSeenCapped","SourceSizeMBSeenCapped","TargetFilesSeenCapped","TargetSizeMBSeenCapped","Log","Error"
"Claude_User_claude_IgorK","C:\Users\IgorK\.claude","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Claude_User_claude_IgorK","True","False","copied-local-non-delete","1","491","101","491","101","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Claude_User_claude_IgorK_20260511_183827.log",""
"Codex_User_codex_IgorK","C:\Users\IgorK\.codex","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Codex_User_codex_IgorK","True","False","copied-local-non-delete","1","6673","10371.41","6673","10370.97","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Codex_User_codex_IgorK_20260511_183827.log",""
"Codex_HOME_LIVE","J:\Setup_VcCode_Workspace\_AI_CHATS_ОБЩИЕ\CODEX\_LIVE","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Codex_HOME_LIVE","True","False","robocopy-warning-or-failed","9","6673","10372.87","6672","8393.91","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Codex_HOME_LIVE_20260511_183827.log","robocopy exit code 9; see J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Codex_HOME_LIVE_20260511_183827.log"
"Claude_J_Config","J:\ClaudeData\.claude","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Claude_J_Config","True","False","copied-local-non-delete","1","1","0","1","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Claude_J_Config_20260511_183827.log",""
"Claude_J_Memory","J:\ClaudeData\memory","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Claude_J_Memory","True","False","copied-local-non-delete","1","1","0","1","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Claude_J_Memory_20260511_183827.log",""
"ClaudeHub","J:\ClaudeHub","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\ClaudeHub","True","False","copied-local-non-delete","1","3","0","3","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_ClaudeHub_20260511_183827.log",""
"ClaudeDesktop_Roaming","C:\Users\IgorK\AppData\Roaming\Claude","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\ClaudeDesktop_Roaming","True","False","copied-local-non-delete","1","4","0","4","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_ClaudeDesktop_Roaming_20260511_183827.log",""
"ClaudeDesktop_Local","C:\Users\IgorK\AppData\Local\Claude","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\ClaudeDesktop_Local","True","False","copied-local-non-delete","1","1","0","1","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_ClaudeDesktop_Local_20260511_183827.log",""
"CherryStudio_Roaming_NoSpace","C:\Users\IgorK\AppData\Roaming\CherryStudio","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\CherryStudio_Roaming_NoSpace","True","False","copied-local-non-delete","1","635","64.23","635","64.23","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_CherryStudio_Roaming_NoSpace_20260511_183827.log",""
"CherryStudio_Roaming_Space","C:\Users\IgorK\AppData\Roaming\Cherry Studio","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\CherryStudio_Roaming_Space","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_CherryStudio_Roaming_Space_20260511_183827.log",""
"CherryStudio_Local_NoSpace","C:\Users\IgorK\AppData\Local\CherryStudio","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\CherryStudio_Local_NoSpace","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_CherryStudio_Local_NoSpace_20260511_183827.log",""
"CherryStudio_Local_Space","C:\Users\IgorK\AppData\Local\Cherry Studio","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\CherryStudio_Local_Space","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_CherryStudio_Local_Space_20260511_183827.log",""
"ChatGPT_Roaming","C:\Users\IgorK\AppData\Roaming\ChatGPT","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\ChatGPT_Roaming","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_ChatGPT_Roaming_20260511_183827.log",""
"ChatGPT_Local","C:\Users\IgorK\AppData\Local\ChatGPT","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\ChatGPT_Local","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_ChatGPT_Local_20260511_183827.log",""
"OpenAI_Roaming","C:\Users\IgorK\AppData\Roaming\OpenAI","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\OpenAI_Roaming","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_OpenAI_Roaming_20260511_183827.log",""
"OpenAI_Local","C:\Users\IgorK\AppData\Local\OpenAI","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\OpenAI_Local","True","False","robocopy-warning-or-failed","9","6","346.17","5","112.55","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_OpenAI_Local_20260511_183827.log","robocopy exit code 9; see J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_OpenAI_Local_20260511_183827.log"
"VSCode_User_History","C:\Users\IgorK\AppData\Roaming\Code\User\History","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\VSCode_User_History","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_VSCode_User_History_20260511_183827.log",""
"VSCode_User_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Code\User\globalStorage","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\VSCode_User_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_VSCode_User_GlobalStorage_20260511_183827.log",""
"VSCode_User_WorkspaceStorage","C:\Users\IgorK\AppData\Roaming\Code\User\workspaceStorage","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\VSCode_User_WorkspaceStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_VSCode_User_WorkspaceStorage_20260511_183827.log",""
"Copilot_GlobalStorage","C:\Users\IgorK\AppData\Roaming\Code\User\globalStorage\github.copilot","J:\_AI_CHATS_ОБЩИЕ\_SOURCES\Copilot_GlobalStorage","False","False","missing-source","","0","0","0","0","J:\_AI_CHATS_ОБЩИЕ\_AUDIT\ROBOCOPY_Copilot_GlobalStorage_20260511_183827.log",""
