"Label","Root","Exists","JsonlCountSeen","JsonCountSeen","MdCountSeen","DbCountSeen","SizeMBSeenCapped","Action","Error"
"CommonRoot","J:\_AI_CHATS_ОБЩИЕ","True","285","741","3411","4","11843.37","manifest only",""
"CodexCommon","J:\_AI_CHATS_ОБЩИЕ\CODEX","True","214","502","3008","4","10362.59","manifest only",""
"CodexHome","J:\Setup_VcCode_Workspace\_AI_CHATS_ОБЩИЕ\CODEX\_LIVE","True","214","502","3008","4","10362.59","manifest only",""
"ClaudeJConfig","J:\ClaudeData\.claude","True","0","0","1","0","0","manifest only",""
"ClaudeJMemory","J:\ClaudeData\memory","True","0","0","1","0","0","manifest only",""
"ClaudeHub","J:\ClaudeHub","True","0","0","3","0","0","manifest only",""
"ClaudeCUser","C:\Users\IgorK\.claude","True","36","128","176","0","101","manifest only",""
"CodexCUser","C:\Users\IgorK\.codex","True","214","502","3008","4","10362.59","manifest only",""
"CherryStudio","C:\Users\IgorK\AppData\Roaming\CherryStudio","True","16","19","56","2","64.23","manifest only",""
"ClaudeDesktopLocal","C:\Users\IgorK\AppData\Local\Claude","True","0","0","0","0","0","manifest only",""
"ClaudeDesktopRoaming","C:\Users\IgorK\AppData\Roaming\Claude","True","0","1","0","0","0","manifest only",""
"ChatGPTLocalOpenAI","C:\Users\IgorK\AppData\Local\OpenAI","True","0","0","0","0","346.17","manifest only",""
"VSCodeRoaming","C:\Users\IgorK\AppData\Roaming\Code","True","0","0","0","0","0","manifest only",""
"CursorRoaming","C:\Users\IgorK\AppData\Roaming\Cursor","True","0","0","0","0","0","manifest only",""
"WindsurfRoaming","C:\Users\IgorK\AppData\Roaming\Windsurf","True","0","0","0","0","0","manifest only",""
